Item_ID,Item_Name,Category,Material_Type,Impact_Level,Environmental_Effects,Risk_Score,Emission_Impact_CO2e,Size_Category,Weight_grams,Volume_cm3,Cleanup_Difficulty,Recyclable,Biodegradable,Decomposition_Time,Disposal_Method,Non_Recoverable,Common_Location,Common_Source,Hazard_Type,Frequency_Score,Collection_Priority,Equipment_Needed
74,Oil Containers,Automotive,Plastic Metal,Very High,Toxic oil contamination,5,15.2,Medium,300,1000,Hard,No,No,450 years,Hazardous Waste,Yes,Rocky Areas,Automotive,Environmental,2,Very High,Safety Equipment
75,Aerosol Cans,Containers,Metal,High,Pressurized gas and chemical contamination,4,8.5,Small,125,400,Hard,No,No,200 years,Hazardous Waste,Yes,Sand Surface,Various,Environmental,3,High,Safety Equipment
76,Bottle Labels,Packaging,Plastic Paper,Medium,Microplastic source and adhesive contamination,3,0.1,Small,2,10,Medium,No,No,200 years,Landfill,No,Shoreline,Consumer Waste,Environmental,6,Medium,Gloves
77,Polystyrene Balls,Packaging,Polystyrene,High,Microplastic pollution and ingestion hazard,4,0.5,Small,1,15,Hard,No,No,500 years,Landfill,Yes,Shoreline,Packaging,Wildlife,5,High,Fine Tools
78,Wet Wipes,Personal Items,Synthetic,Medium,Blocks marine digestive systems,3,0.8,Small,8,25,Easy,No,No,100 years,Landfill,No,Sand Surface,Personal Waste,Wildlife,6,Medium,Gloves
79,Masks,Personal Items,Synthetic,Medium,Entanglement hazard and microplastic source,3,0.5,Small,5,20,Easy,No,No,450 years,Landfill,No,Sand Surface,Personal Waste,Wildlife,7,Medium,Gloves
80,Plastic Lids,Containers,Plastic,Medium,Small ingestion hazard and microplastic source,3,0.2,Small,5,15,Easy,Yes,No,400 years,Recycle Bin,No,Sand Surface,Various,Wildlife,8,Medium,Gloves
81,Tampon Applicators,Personal Items,Plastic,High,Often mistaken for food by marine animals,4,0.3,Small,3,12,Easy,No,No,400 years,Landfill,No,Shoreline,Personal Waste,Wildlife,5,High,Gloves
82,Hair Ties,Personal Items,Elastic Plastic,Medium,Entanglement hazard for small marine life,3,0.1,Small,1,5,Easy,No,No,200 years,Landfill,No,Sand Surface,Personal Waste,Wildlife,4,Medium,Gloves
83,Disposable Lighters,Personal Items,Plastic Metal,Medium,Butane contamination and ingestion hazard,3,1.8,Small,12,30,Easy,No,No,400 years,Hazardous Waste,Yes,Sand Surface,Personal Waste,Environmental,3,Medium,Gloves
84,Plastic Spoons,Food Service,Plastic,Medium,Ingestion and microplastic pollution,3,0.15,Small,3,8,Easy,No,No,300 years,Landfill,No,Picnic Areas,Food Service,Wildlife,5,Medium,Gloves
85,Plastic Forks,Food Service,Plastic,High,Sharp prongs dangerous to marine life,4,0.2,Small,4,10,Easy,No,No,300 years,Landfill,No,Picnic Areas,Food Service,Wildlife,5,High,Gloves
86,Plastic Knives,Food Service,Plastic,Medium,Sharp edges and microplastic source,3,0.18,Small,3.5,9,Easy,No,No,300 years,Landfill,No,Picnic Areas,Food Service,Wildlife,4,Medium,Gloves
87,Pizza Boxes,Food Packaging,Cardboard,Low,Grease contamination prevents recycling,2,1.8,Large,150,2000,Easy,No,Partial,3 months,Landfill,No,Picnic Areas,Food Service,Environmental,3,Low,Gloves
88,Styrofoam Cups,Beverage Containers,Polystyrene,High,Breaks into toxic microplastics,4,0.8,Medium,8,200,Easy,No,No,500 years,Landfill,Yes,Picnic Areas,Food Service,Environmental,4,High,Gloves
89,Bottle Corks,Beverage Accessories,Cork Plastic,Low,Natural cork biodegradable synthetic cork not,2,0.05,Small,2,4,Easy,Partial,Partial,Varies,Compost Landfill,No,Sand Surface,Consumer Waste,Environmental,3,Low,Gloves
90,Dental Floss,Personal Items,Synthetic,High,Entanglement hazard appears like food to fish,4,0.02,Small,0.5,1,Hard,No,No,400 years,Landfill,No,Sand Surface,Personal Waste,Wildlife,2,High,Tweezers
91,Contact Lenses,Personal Items,Plastic,Medium,Microplastic pollution often invisible,3,0.01,Small,0.1,0.5,Very Hard,No,No,500 years,Landfill,Yes,Sand Water,Personal Waste,Environmental,2,Medium,Fine Tools
92,Chewing Gum,Personal Items,Synthetic,Medium,Sticky trap hazard and synthetic polymer,3,0.5,Small,2,3,Hard,No,No,5 years,Landfill,No,Sand Surface,Personal Waste,Wildlife,6,Medium,Scraping Tools
93,Dog Waste Bags,Personal Items,Plastic,Medium,Often not biodegradable despite claims,3,0.8,Small,8,50,Easy,No,Partial,3 years,Landfill,No,Shoreline,Pet Waste,Environmental,4,Medium,Gloves
94,Tennis Balls,Recreation,Rubber Felt,Medium,Synthetic materials and choking hazard,3,2.1,Medium,58,150,Easy,No,No,400 years,Landfill,No,Sand Surface,Recreation,Wildlife,2,Medium,Gloves
95,Frisbees,Recreation,Plastic,Medium,Large ingestion hazard and microplastic source,3,3.2,Large,175,800,Easy,No,No,400 years,Landfill,No,Sand Surface,Recreation,Wildlife,2,Medium,Gloves
96,Kites,Recreation,Plastic Fabric,Medium,Entanglement hazard and synthetic materials,3,1.8,Large,85,2000,Medium,No,Partial,200 years,Landfill,No,Beach Areas,Recreation,Wildlife,1,Medium,Cutting Tools
97,Sunglasses,Personal Items,Plastic Metal,Medium,Microplastic source and sharp fragments,3,0.8,Small,25,80,Easy,Partial,No,400 years,Landfill,No,Sand Surface,Personal Waste,Environmental,3,Medium,Gloves
98,Watches,Personal Items,Metal Plastic,Medium,Battery acid and electronic components,3,2.5,Small,45,100,Easy,Partial,No,100 years,E-Waste,Yes,Sand Surface,Personal Waste,Environmental,1,Medium,Gloves
99,Jewelry,Personal Items,Metal Plastic,Low,Metal corrosion and microplastic beads,2,0.5,Small,8,20,Easy,Partial,No,Varies,Varies,No,Sand Surface,Personal Waste,Environmental,2,Low,Gloves
100,Fabric Softener Sheets,Household Items,Synthetic,Medium,Chemical residue and synthetic fibers,3,0.2,Small,2,25,Easy,No,No,500 years,Landfill,Yes,Shoreline,Consumer Waste,Environmental,2,Medium,Gloves
101,Pacifiers,Personal Items,Silicone Plastic,Medium,Choking hazard and synthetic materials,3,0.5,Small,5,15,Easy,No,No,500 years,Landfill,No,Sand Surface,Personal Waste,Wildlife,2,Medium,Gloves
102,Baby Bottles,Personal Items,Plastic,Medium,Large plastic pollution and chemical leaching,3,2.8,Medium,120,250,Easy,Yes,No,450 years,Recycle Bin,No,Picnic Areas,Personal Waste,Environmental,2,Medium,Gloves
103,Sippy Cups,Personal Items,Plastic,Medium,Plastic pollution and ingestion hazard,3,1.8,Medium,85,200,Easy,Yes,No,450 years,Recycle Bin,No,Picnic Areas,Personal Waste,Wildlife,3,Medium,Gloves
104,Ice Packs,Medical Items,Plastic Gel,Medium,Chemical gel contamination,3,3.2,Medium,150,300,Medium,No,No,400 years,Hazardous Waste,Yes,Cooler Areas,Medical Recreation,Environmental,2,Medium,Gloves
105,Hand Warmers,Recreation,Mixed,Medium,Chemical heating agents,3,1.2,Small,25,50,Easy,No,No,Varies,Hazardous Waste,Yes,Sand Surface,Recreation,Environmental,1,Medium,Gloves
106,Glow Sticks,Recreation,Plastic Chemical,High,Toxic chemical contents,4,0.8,Small,15,25,Easy,No,No,400 years,Hazardous Waste,Yes,Sand Surface,Entertainment,Environmental,2,High,Safety Gloves
107,Plastic Spades,Recreation,Plastic,Medium,Beach toy microplastic source,3,2.5,Medium,125,400,Easy,No,No,400 years,Landfill,No,Sand Surface,Recreation,Environmental,4,Medium,Gloves
108,Sand Buckets,Recreation,Plastic,Medium,Large plastic pollution source,3,3.8,Large,200,2000,Easy,No,No,400 years,Landfill,No,Sand Surface,Recreation,Environmental,5,Medium,Gloves
109,Beach Umbrellas,Recreation,Metal Fabric,Medium,Metal corrosion and synthetic fabric,3,15.2,Large,2500,8000,Hard,Partial,Partial,50 years,Mixed Disposal,No,Beach Areas,Recreation,Environmental,1,Medium,Tools
110,Umbrella Parts,Recreation,Metal Plastic,Medium,Sharp metal and plastic fragments,3,2.8,Medium,150,200,Medium,Partial,No,100 years,Mixed Disposal,No,Beach Areas,Recreation,Wildlife,3,Medium,Tools
111,Cooler Parts,Recreation,Plastic Foam,Medium,Insulation foam and plastic components,3,8.5,Large,800,5000,Medium,Partial,No,500 years,Landfill,No,Picnic Areas,Recreation,Environmental,2,Medium,Tools
112,Thermoses,Containers,Metal Plastic,Medium,Mixed materials and insulation,3,5.2,Medium,350,500,Easy,Partial,No,200 years,Mixed Disposal,No,Picnic Areas,Consumer Waste,Environmental,2,Medium,Gloves
113,Water Bottles,Beverage Containers,Plastic,High,Microplastic source major pollution,4,0.8,Medium,30,500,Easy,Yes,No,450 years,Recycle Bin,No,Shoreline,Consumer Waste,Wildlife,9,High,Gloves
114,Sports Bottles,Beverage Containers,Plastic,Medium,Specialized plastic pollution,3,1.5,Medium,85,600,Easy,Yes,No,450 years,Recycle Bin,No,Beach Areas,Recreation,Environmental,4,Medium,Gloves
115,Energy Drink Cans,Beverage Containers,Metal,Medium,Caffeine contamination and sharp edges,3,1.8,Medium,25,330,Easy,Yes,No,200 years,Recycle Bin,No,Sand Surface,Consumer Waste,Wildlife,5,Medium,Gloves
116,Protein Bar Wrappers,Food Packaging,Plastic Foil,Medium,Multi-layer packaging pollution,3,0.3,Small,3,20,Easy,No,No,400 years,Landfill,No,Beach Areas,Recreation,Wildlife,4,Medium,Gloves
117,Granola Bar Wrappers,Food Packaging,Plastic,Medium,Small packaging pollution,3,0.2,Small,2,15,Easy,No,No,300 years,Landfill,No,Picnic Areas,Consumer Waste,Wildlife,5,Medium,Gloves
118,Chip Bags,Food Packaging,Plastic Foil,Medium,Metallized plastic pollution,3,0.8,Medium,8,150,Easy,No,No,400 years,Landfill,No,Picnic Areas,Consumer Waste,Wildlife,7,Medium,Gloves
119,Cookie Packages,Food Packaging,Plastic,Medium,Food packaging pollution,3,0.5,Small,5,80,Easy,No,No,300 years,Landfill,No,Picnic Areas,Consumer Waste,Wildlife,4,Medium,Gloves
120,Sandwich Bags,Food Packaging,Plastic,Medium,Food storage pollution,3,0.2,Small,2,100,Easy,No,No,300 years,Landfill,No,Picnic Areas,Consumer Waste,Wildlife,6,Medium,Gloves
121,Aluminum Trays,Food Packaging,Metal,Medium,Food service pollution,3,2.5,Medium,25,200,Easy,Yes,No,200 years,Recycle Bin,No,Picnic Areas,Food Service,Environmental,3,Medium,Gloves
122,Plastic Trays,Food Packaging,Plastic,Medium,Food service plastic pollution,3,1.8,Medium,35,300,Easy,Yes,No,400 years,Recycle Bin,No,Picnic Areas,Food Service,Environmental,4,Medium,Gloves
123,Napkins,Food Service,Paper,Low,Biodegradable paper waste,1,0.1,Small,1,10,Easy,No,Yes,2 weeks,Compost,No,Picnic Areas,Food Service,Environmental,6,Low,Gloves
124,Paper Plates,Food Service,Paper,Low,Often wax-coated prevents composting,2,0.8,Medium,15,200,Easy,Partial,Partial,6 months,Landfill,No,Picnic Areas,Food Service,Environmental,5,Low,Gloves
125,Plastic Plates,Food Service,Plastic,Medium,Disposable plastic pollution,3,1.2,Medium,25,250,Easy,Yes,No,400 years,Recycle Bin,No,Picnic Areas,Food Service,Environmental,4,Medium,Gloves
126,Styrofoam Plates,Food Service,Polystyrene,High,Toxic microplastic pollution,4,0.8,Medium,12,180,Easy,No,No,500 years,Landfill,Yes,Picnic Areas,Food Service,Environmental,3,High,Gloves
127,Disposable Bowls,Food Service,Plastic,Medium,Food service plastic waste,3,1.5,Medium,30,300,Easy,Yes,No,400 years,Recycle Bin,No,Picnic Areas,Food Service,Environmental,4,Medium,Gloves
128,Condiment Packets,Food Packaging,Plastic Foil,Medium,Small packaging major pollution,3,0.1,Small,2,5,Easy,No,No,300 years,Landfill,No,Picnic Areas,Food Service,Wildlife,8,Medium,Gloves
129,Ketchup Packets,Food Packaging,Plastic,Medium,Food condiment packaging,3,0.1,Small,3,8,Easy,No,No,300 years,Landfill,No,Picnic Areas,Food Service,Wildlife,6,Medium,Gloves
130,Salt Packets,Food Packaging,Paper Plastic,Medium,Mixed material small packaging,3,0.05,Small,1,3,Easy,No,No,200 years,Landfill,No,Picnic Areas,Food Service,Environmental,5,Medium,Gloves
131,Sugar Packets,Food Packaging,Paper,Low,Paper packaging generally biodegradable,1,0.05,Small,1,4,Easy,No,Yes,1 month,Compost,No,Picnic Areas,Food Service,Environmental,4,Low,Gloves
